,Name,Age,Nationality,Overall,Potential,Club,Value(€),Wage(€),Height,Weight(lbs),Continent
16573,D. Mottley-Henry,20,United Kingdom,57,66,Tranmere Rovers,160000.0,1000.0,5'10,157.0,Europe
16574,J. Hernandez,22,Mexico,57,65,Real Salt Lake,150000.0,1000.0,5'3,126.0,North America
16575,S. Villarreal,18,Mexico,57,74,Monterrey,190000.0,2000.0,5'9,123.0,North America
16576,S. Al Nabit,22,Saudi Arabia,57,67,Ohod Club,170000.0,3000.0,5'9,150.0,Asia
16577,B. Folami,19,Australia,57,73,Ipswich Town,220000.0,1000.0,5'7,154.0,Oceania
16578,K. Castañeda,18,Mexico,57,75,Deportivo Toluca,210000.0,2000.0,5'7,161.0,North America
16579,A. Ghareeb,21,Saudi Arabia,57,68,Al Ahli,180000.0,4000.0,5'5,134.0,Asia
16580,I. Jasarevic,22,Bosnia and Herzegovina,57,64,Dalkurd FF,120000.0,1000.0,6'0,176.0,Europe
16581,C. Vernam,21,United Kingdom,57,65,Grimsby Town,160000.0,2000.0,5'7,163.0,Europe
16582,Lee Rae Joon,21,"Korea, Republic of",57,66,Pohang Steelers,160000.0,1000.0,6'4,159.0,Asia
16583,B. Taz,19,Germany,57,77,1. FC Union Berlin,220000.0,2000.0,5'10,152.0,Europe
16584,T. Mizutani,22,Japan,57,62,Shimizu S-Pulse,140000.0,1000.0,5'4,137.0,Asia
16585,B. Dione,21,Belgium,57,66,Royal Excel Mouscron,160000.0,1000.0,5'6,137.0,Europe
16586,K. Al Shuwayie,22,Saudi Arabia,57,68,Al Nassr,160000.0,4000.0,5'10,159.0,Asia
16587,A. Ramírez,19,Chile,57,67,CD Universidad de Concepción,160000.0,1000.0,5'10,152.0,South America
16588,K. Kovačević,23,Croatia,57,61,TSV Hartberg,140000.0,1000.0,6'2,176.0,Europe
16589,E. Sivertsen,27,Norway,57,58,Kristiansund BK,100000.0,1000.0,5'10,181.0,Europe
16590,L. Ritson,19,United Kingdom,57,69,Hull City,160000.0,2000.0,6'0,141.0,Europe
16591,G. Berggren,20,Sweden,57,65,BK Häcken,150000.0,1000.0,5'11,176.0,Europe
16592,J. Oksanen,17,Finland,57,76,Brentford,180000.0,2000.0,5'11,159.0,Europe
16593,D. Parker,18,United Kingdom,57,70,Walsall,190000.0,1000.0,5'10,154.0,Europe
16594,C. Mafoumbi,24,Congo,57,61,Blackpool,100000.0,1000.0,6'5,176.0,Africa
16595,A. Bolger,18,Ireland,57,77,Shamrock Rovers,210000.0,1000.0,5'7,143.0,Europe
16596,A. Al Basisi,40,Saudi Arabia,57,57,Ohod Club,10000.0,1000.0,6'0,190.0,Asia
16597,B. Fox,20,United Kingdom,57,73,Burton Albion,230000.0,1000.0,5'9,168.0,Europe
16598,E. Kastrati,21,Albania,57,69,Pescara,150000.0,1000.0,6'1,163.0,Europe
16599,M. Al Rashidi,19,Saudi Arabia,57,73,Al Fayha,200000.0,1000.0,5'7,150.0,Asia
16600,Kim Woo Suk,21,"Korea, Republic of",57,68,Daegu FC,160000.0,1000.0,6'2,163.0,Asia
16601,M. Radecki,25,Poland,57,58,Śląsk Wrocław,120000.0,1000.0,6'2,163.0,Europe
16602,O. Jackson,19,United Kingdom,57,72,Milton Keynes Dons,200000.0,1000.0,6'2,165.0,Europe
16603,C. Thompson,18,United Kingdom,57,73,Fulham,220000.0,4000.0,5'7,165.0,Europe
16604,J. Shackleton,18,United Kingdom,57,77,Leeds United,210000.0,3000.0,5'7,143.0,Europe
16605,T. Sibbick,19,United Kingdom,57,69,AFC Wimbledon,160000.0,1000.0,6'0,152.0,Europe
16606,K. Oldenburger,22,Netherlands,57,64,FC Emmen,150000.0,1000.0,5'9,154.0,Europe
16607,M. Lema,18,Austria,57,75,SK Sturm Graz,210000.0,1000.0,5'7,143.0,Europe
16608,A. Al Riou,24,Saudi Arabia,57,61,Al Hazem,110000.0,4000.0,5'6,154.0,Asia
16609,N. Cordero,19,Argentina,57,72,Club Atlético Huracán,220000.0,1000.0,5'7,152.0,South America
16610,J. Rodríguez,20,Mexico,57,66,Puebla FC,160000.0,1000.0,5'7,148.0,North America
16611,H. Abu Sharara,21,Saudi Arabia,57,66,Al Qadisiyah,160000.0,2000.0,5'4,132.0,Asia
16612,B. Hussein,18,Sweden,57,78,AIK,230000.0,1000.0,5'9,154.0,Europe
16613,H. Pernía,27,Venezuela,57,58,Atlético Bucaramanga,100000.0,1000.0,6'1,168.0,South America
16614,V. Ekani,21,Cameroon,57,71,SønderjyskE,230000.0,1000.0,6'3,181.0,Africa
16615,L. Gordon,22,United Kingdom,57,66,St. Johnstone FC,140000.0,1000.0,6'0,170.0,Europe
16616,V. Karakuş,20,Turkey,57,67,Kayserispor,130000.0,1000.0,6'3,185.0,Asia
16617,M. Al Zubaidi,20,Saudi Arabia,57,68,Al Ahli,160000.0,3000.0,5'8,137.0,Asia
16618,A. Al Bishi,22,Saudi Arabia,57,66,Al Qadisiyah,140000.0,2000.0,5'10,176.0,Asia
16619,R. Lloyd,24,United Kingdom,57,61,Macclesfield Town,140000.0,1000.0,5'11,161.0,Europe
16620,G. Siadas,18,Germany,57,73,Fortuna Düsseldorf,190000.0,2000.0,5'11,163.0,Europe
16621,M. Asiri,25,Saudi Arabia,57,60,Al Qadisiyah,90000.0,2000.0,5'9,190.0,Asia
16622,S. Coly,20,Senegal,57,72,Ascoli,230000.0,6000.0,6'0,152.0,Africa
16623,C. Coventry,18,Ireland,57,73,West Ham United,210000.0,4000.0,5'9,143.0,Europe
16624,J. Ponceau,17,France,57,72,FC Lorient,210000.0,1000.0,5'7,132.0,Europe
16625,R. Noda,29,Japan,57,57,Shonan Bellmare,100000.0,1000.0,6'1,174.0,Asia
16626,Qiu Shengjiong,32,China,57,57,Shanghai Greenland Shenhua FC,60000.0,2000.0,6'2,203.0,Asia
16627,M. Al Haidari,22,Saudi Arabia,57,65,Al Hilal,110000.0,3000.0,6'2,190.0,Asia
16628,K. Stamatopoulos,38,Canada,57,57,AIK,10000.0,1000.0,6'2,176.0,North America
16629,Y. Lenze,17,Germany,57,82,FC Schalke 04,190000.0,1000.0,6'1,165.0,Europe
16630,F. Chenkam,19,Cameroon,57,71,Seattle Sounders FC,220000.0,1000.0,5'6,165.0,Africa
16631,R. Edmondson,17,United Kingdom,57,79,Leeds United,230000.0,3000.0,6'1,172.0,Europe
16632,M. Klass,19,United Kingdom,57,69,Southend United,180000.0,1000.0,5'9,139.0,Europe
16633,J. Vom Steeg,21,United States,57,67,LA Galaxy,130000.0,1000.0,6'4,201.0,North America
16634,E. Palacios,21,Colombia,57,66,Alianza Petrolera,140000.0,1000.0,5'10,150.0,South America
16635,Kim Joon Beom,20,"Korea, Republic of",57,67,Gyeongnam FC,170000.0,1000.0,5'9,159.0,Asia
16636,A. Campbell,23,United Kingdom,57,62,Carlisle United,140000.0,1000.0,5'7,161.0,Europe
16637,H. Pritchard,25,United Kingdom,57,60,Blackpool,130000.0,1000.0,6'0,174.0,Europe
16638,K. Engbers,18,Netherlands,57,68,FC Emmen,140000.0,1000.0,6'1,172.0,Europe
16639,K. Wootton,21,United Kingdom,57,64,Scunthorpe United,150000.0,1000.0,6'2,172.0,Europe
16640,U. Türker,20,Turkey,57,72,Alanyaspor,230000.0,2000.0,5'8,152.0,Asia
16641,L. Malicsek,19,Austria,57,71,FC Admira Wacker Mödling,200000.0,1000.0,5'11,157.0,Europe
16642,K. da Graca,20,Sweden,57,70,IFK Göteborg,180000.0,1000.0,6'2,176.0,Europe
16643,B. Maguire,20,United Kingdom,57,72,Motherwell,210000.0,1000.0,6'2,163.0,Europe
16644,J. Padilla,19,Mexico,57,76,Pachuca,220000.0,2000.0,5'9,139.0,North America
16645,I. Shinozuka,23,Russia,57,61,Yokohama F. Marinos,140000.0,1000.0,5'10,148.0,Europe
16646,S. Palma,18,Colombia,57,77,Once Caldas,190000.0,1000.0,6'2,165.0,South America
16647,C. Crane,22,United Kingdom,57,66,Livingston FC,140000.0,1000.0,5'9,152.0,Europe
16648,A. Rizzo,19,Italy,57,76,Palermo,220000.0,1000.0,5'11,161.0,Europe
16649,D. Lyness,26,United Kingdom,57,61,St. Mirren,90000.0,1000.0,6'3,168.0,Europe
16650,J. Holldack,22,Germany,57,68,KFC Uerdingen 05,160000.0,1000.0,5'11,159.0,Europe
16651,A. Goelzer,19,France,57,71,Valenciennes FC,200000.0,1000.0,6'0,165.0,Europe
16652,A. Mironov,18,Russia,57,71,Lokomotiv Moscow,210000.0,1000.0,5'9,154.0,Europe
16653,G. Gbellé,25,France,57,61,Paris FC,130000.0,1000.0,5'10,165.0,Europe
16654,T. Abrahams,19,United Kingdom,57,69,Exeter City,180000.0,2000.0,5'9,148.0,Europe
16655,S. Ben Amar,20,Morocco,57,69,Nîmes Olympique,190000.0,2000.0,6'1,168.0,Africa
16656,M. Gillam,19,United Kingdom,57,69,Rochdale,180000.0,1000.0,5'9,161.0,Europe
16657,F. Kaya,18,Turkey,57,73,FC Ingolstadt 04,220000.0,2000.0,6'0,174.0,Asia
16658,J. Zea,19,Colombia,57,73,Deportivo Cali,220000.0,1000.0,5'9,154.0,South America
16659,D. Spence,17,United Kingdom,57,77,Middlesbrough,180000.0,3000.0,6'0,157.0,Europe
16660,I. Turner,29,Ireland,57,57,St. Patrick's Athletic,100000.0,1000.0,6'0,174.0,Europe
16661,Cong Zhen,21,China,57,65,Shanghai Greenland Shenhua FC,150000.0,2000.0,5'11,165.0,Asia
16662,M. Norman,21,United Kingdom,57,69,Rochdale,150000.0,3000.0,6'4,209.0,Europe
16663,E. Mahmutovic,21,Luxembourg,57,67,Yeovil Town,150000.0,4000.0,6'3,190.0,Europe
16664,Vasco Paciência,18,Portugal,57,74,Boavista FC,220000.0,1000.0,6'0,165.0,Europe
16665,F. Akammadu,19,Italy,57,73,Tranmere Rovers,220000.0,1000.0,5'11,185.0,Europe
16666,S. Shotton,17,United Kingdom,57,69,Bury,140000.0,1000.0,6'0,165.0,Europe
16667,A. Hindi,21,Saudi Arabia,57,70,Al Ahli,180000.0,3000.0,5'11,141.0,Asia
16668,C. Nicell,18,Ireland,57,72,Leeds United,210000.0,3000.0,5'9,143.0,Europe
16669,J. Truque,19,Colombia,57,73,Once Caldas,180000.0,1000.0,5'10,148.0,South America
16670,H. Douglas,25,Ireland,57,61,Bray Wanderers,110000.0,1000.0,6'3,187.0,Europe
16671,S. Dieng,23,Switzerland,57,62,Stevenage,100000.0,1000.0,6'2,163.0,Europe
16672,A. Adetula,20,Germany,57,67,Eintracht Braunschweig,170000.0,1000.0,6'0,161.0,Europe
16673,B. Alférez,20,Argentina,57,67,Godoy Cruz,150000.0,1000.0,6'0,157.0,South America
16674,D. Mitov,21,Bulgaria,56,63,Cambridge United,90000.0,1000.0,6'2,168.0,Europe
16675,M. Galé,22,Colombia,56,64,La Equidad,110000.0,1000.0,5'11,165.0,South America
16676,R. Harvey,18,United Kingdom,56,70,Millwall,190000.0,1000.0,5'8,143.0,Europe
16677,J. McMillan,20,United Kingdom,56,68,Livingston FC,140000.0,1000.0,6'0,170.0,Europe
16678,H. Clifton,20,United Kingdom,56,68,Grimsby Town,160000.0,1000.0,5'11,141.0,Europe
16679,T. Heward-Belle,21,Australia,56,69,Sydney FC,140000.0,1000.0,6'4,176.0,Oceania
16680,S. Long,23,United Kingdom,56,63,Oxford United,110000.0,1000.0,5'10,165.0,Europe
16681,J. Simonsen,22,Denmark,56,63,SønderjyskE,110000.0,2000.0,6'0,168.0,Europe
16682,P. Sánchez,20,Chile,56,64,CD Everton de Viña del Mar,130000.0,1000.0,5'10,139.0,South America
16683,A. Høvenhoff,28,Denmark,56,56,Vendsyssel FF,90000.0,2000.0,5'9,157.0,Europe
16684,R. Koot,18,Netherlands,56,68,Fortuna Sittard,120000.0,1000.0,6'1,176.0,Europe
16685,J. Pourtau,18,Argentina,56,75,Estudiantes de La Plata,150000.0,1000.0,6'3,165.0,South America
16686,D. Mushitu,18,Sweden,56,70,AIK,190000.0,1000.0,6'0,185.0,Europe
16687,M. Berisha,20,Serbia,56,73,1. FC Magdeburg,200000.0,4000.0,6'1,174.0,Europe
16688,M. Harris,19,United Kingdom,56,73,Newport County,200000.0,3000.0,6'0,165.0,Europe
16689,Gao Tianyi,20,China,56,66,Jiangsu Suning FC,130000.0,2000.0,6'1,174.0,Asia
16690,J. Al Dossary,24,Saudi Arabia,56,61,Al Faisaly,100000.0,3000.0,5'10,168.0,Asia
16691,L. Seydoux,20,Switzerland,56,68,BSC Young Boys,140000.0,2000.0,5'9,148.0,Europe
16692,D. Mena,21,Colombia,56,65,Boyacá Chicó FC,140000.0,1000.0,5'10,159.0,South America
16693,A. Medina,20,Mexico,56,70,Deportivo Toluca,200000.0,2000.0,6'0,163.0,North America
16694,O. O'Dwyer,20,United Kingdom,56,69,Crystal Palace,160000.0,4000.0,6'7,183.0,Europe
16695,M. Parada,20,Chile,56,68,CD Antofagasta,160000.0,1000.0,5'6,141.0,South America
16696,Jo Yong Jae,20,"Korea, Republic of",56,68,Daegu FC,160000.0,1000.0,5'8,150.0,Asia
16697,M. Wolff,21,Argentina,56,66,Club Atlético Tigre,110000.0,1000.0,6'3,176.0,South America
16698,B. Lucumí,24,Colombia,56,62,Deportivo Pasto,120000.0,1000.0,5'7,137.0,South America
16699,O. Kensdale,18,United Kingdom,56,76,Colchester United,170000.0,1000.0,6'3,187.0,Europe
16700,K. Szymański,25,Poland,56,56,Lech Poznań,60000.0,1000.0,6'3,194.0,Europe
16701,L. Hardcastle,19,United Kingdom,56,64,Port Vale,130000.0,3000.0,5'9,154.0,Europe
16702,O. Malcı,22,Turkey,56,65,Çaykur Rizespor,120000.0,2000.0,6'1,163.0,Asia
16703,H. Al Yami,19,Saudi Arabia,56,71,Al Qadisiyah,200000.0,2000.0,5'7,154.0,Asia
16704,M. Orłowski,24,Poland,56,59,Lech Poznań,90000.0,1000.0,5'10,163.0,Europe
16705,J. Ferry,21,United Kingdom,56,64,Stevenage,130000.0,1000.0,5'10,148.0,Europe
16706,S. Janssen,17,Netherlands,56,72,VVV-Venlo,180000.0,1000.0,5'10,148.0,Europe
16707,M. Catenacci,17,Sweden,56,73,Djurgårdens IF,160000.0,1000.0,5'10,161.0,Europe
16708,B. Kennedy,31,Australia,56,56,Central Coast Mariners,50000.0,1000.0,6'2,183.0,Oceania
16709,M. Guel,19,Ivory Coast,56,75,FC Lorient,190000.0,1000.0,5'8,176.0,Africa
16710,T. Rönning,19,Sweden,56,66,IF Elfsborg,110000.0,1000.0,6'3,176.0,Europe
16711,A. Jerez,19,Chile,56,66,Curicó Unido,110000.0,1000.0,6'0,170.0,South America
16712,M. Pedersen,18,Norway,56,76,Tromsø IL,190000.0,1000.0,5'10,154.0,Europe
16713,K. Politz,22,United States,56,65,New York Red Bulls,120000.0,1000.0,6'0,174.0,North America
16714,A. Grinwis,26,United States,56,61,Orlando City SC,80000.0,1000.0,6'2,170.0,North America
16715,K. Shiihashi,21,Japan,56,60,Vegalta Sendai,100000.0,1000.0,5'10,152.0,Asia
16716,M. Layer,19,Germany,56,71,VfR Aalen,160000.0,1000.0,6'2,187.0,Europe
16717,M. Grundmann,20,Germany,56,66,FC Energie Cottbus,130000.0,1000.0,6'0,168.0,Europe
16718,W. Biedrzycki,20,Poland,56,64,Górnik Zabrze,120000.0,1000.0,6'2,163.0,Europe
16719,D. Szczepan,23,Poland,56,58,Śląsk Wrocław,110000.0,1000.0,5'10,172.0,Europe
16720,D. Baur,19,United Kingdom,56,72,Heart of Midlothian,180000.0,1000.0,6'4,154.0,Europe
16721,C. Lang,19,United Kingdom,56,73,Oldham Athletic,190000.0,3000.0,5'11,161.0,Europe
16722,C. Ariza,22,Colombia,56,66,Jaguares de Córdoba,110000.0,1000.0,6'1,154.0,South America
16723,S. Amin,20,Syria,56,64,Örebro SK,130000.0,1000.0,6'0,150.0,Asia
16724,D. Hutchinson,21,Ireland,56,64,Waterford FC,120000.0,1000.0,5'10,154.0,Europe
16725,Y. Ben El-Mhanni,22,United Kingdom,56,65,Scunthorpe United,140000.0,2000.0,5'10,165.0,Europe
16726,H. Isted,21,United Kingdom,56,67,Luton Town,120000.0,1000.0,6'1,163.0,Europe
16727,O. Yilmaz,20,Austria,56,64,FC Wacker Innsbruck,140000.0,2000.0,6'3,176.0,Europe
16728,R. Caicedo,24,Colombia,56,62,Boyacá Chicó FC,90000.0,1000.0,6'2,183.0,South America
16729,G. Kımışır,20,Turkey,56,65,Antalyaspor,120000.0,2000.0,5'10,128.0,Asia
16730,R. Watson,24,United Kingdom,56,61,Milton Keynes Dons,120000.0,2000.0,6'1,161.0,Europe
16731,V. Viot,24,France,56,61,AS Béziers,90000.0,1000.0,6'0,176.0,Europe
16732,Z. Al Haniti,22,Saudi Arabia,56,68,Ohod Club,140000.0,2000.0,5'11,192.0,Asia
16733,N. Abdali,20,Saudi Arabia,56,68,Al Fayha,160000.0,2000.0,5'7,132.0,Asia
16734,S. McWilliams,19,United Kingdom,56,72,Northampton Town,190000.0,1000.0,5'11,152.0,Europe
16735,T. Roberts,17,United States,56,75,FC Dallas,180000.0,1000.0,5'11,150.0,North America
16736,J. McDonagh,22,United Kingdom,56,66,Derry City,150000.0,1000.0,5'11,154.0,Europe
16737,D. Malhue,23,Chile,56,62,Club Deportes Temuco,120000.0,1000.0,5'11,159.0,South America
16738,A. Koldere,18,Turkey,56,74,Medipol Başakşehir FK,170000.0,1000.0,6'1,150.0,Asia
16739,D. Stynes,19,Australia,56,67,Perth Glory,150000.0,1000.0,6'0,154.0,Oceania
16740,M. Kos,21,Austria,56,66,FK Austria Wien,110000.0,1000.0,6'0,176.0,Europe
16741,F. Baptiste,18,United Kingdom,56,76,Crystal Palace,190000.0,4000.0,5'11,146.0,Europe
16742,Jeong Chee In,20,"Korea, Republic of",56,70,Daegu FC,200000.0,1000.0,5'11,157.0,Asia
16743,K. Watts,18,United Kingdom,56,76,Newcastle United,170000.0,2000.0,6'3,165.0,Europe
16744,J. Lennon,20,Ireland,56,70,St. Patrick's Athletic,200000.0,1000.0,5'10,134.0,Europe
16745,H. Duman,19,Norway,56,68,Strømsgodset IF,150000.0,1000.0,5'10,165.0,Europe
16746,N. Anhölcher,18,Germany,56,69,VfR Aalen,160000.0,1000.0,6'0,163.0,Europe
16747,J. Stenmark,19,Sweden,56,70,Kalmar FF,180000.0,1000.0,6'1,165.0,Europe
16748,S. Belkahia,19,Germany,56,66,TSV 1860 München,120000.0,1000.0,6'4,183.0,Europe
16749,C. Tovar,20,Colombia,56,71,Deportes Tolima,180000.0,1000.0,6'0,154.0,South America
16750,C. Goslin,18,United States,56,78,Atlanta United,200000.0,1000.0,5'7,146.0,North America
16751,B. Stephens,20,United Kingdom,56,66,Macclesfield Town,150000.0,1000.0,5'8,132.0,Europe
16752,Y. Requena,23,Venezuela,56,62,Boyacá Chicó FC,120000.0,1000.0,5'5,141.0,South America
16753,K. Cantwell,23,Ireland,56,62,Limerick FC,110000.0,1000.0,6'2,174.0,Europe
16754,S. Lavelle,21,United Kingdom,56,65,Morecambe,120000.0,1000.0,6'0,168.0,Europe
16755,M. Rodrigues,21,Switzerland,56,65,FC Thun,120000.0,1000.0,6'0,165.0,Europe
16756,Javito,17,Spain,56,72,SD Huesca,160000.0,1000.0,5'10,152.0,Europe
16757,W. Jakkit,21,Thailand,56,68,FC Tokyo,160000.0,1000.0,5'8,154.0,Asia
16758,H. St Clair,19,United Kingdom,56,70,Venezia FC,190000.0,1000.0,5'9,143.0,Europe
16759,S. Grønli,17,Norway,56,77,Tromsø IL,200000.0,1000.0,5'7,141.0,Europe
16760,P. Jensen,20,Denmark,56,63,FC Nordsjælland,90000.0,1000.0,6'4,196.0,Europe
16761,A. Hinds,18,United Kingdom,56,68,Rotherham United,130000.0,2000.0,5'10,159.0,Europe
16762,F. Al Rashidi,21,Saudi Arabia,56,65,Al Hilal,140000.0,4000.0,5'9,150.0,Asia
16763,A. Ávila,20,Mexico,56,73,Club Atlas,200000.0,2000.0,5'10,143.0,North America
16764,M. Lis,21,Poland,56,63,Wisła Kraków,90000.0,1000.0,6'4,183.0,Europe
16765,S. Kawamata,28,Japan,56,56,Kashima Antlers,60000.0,1000.0,6'2,190.0,Asia
16766,A. Nsakala,18,France,56,78,FC Sochaux-Montbéliard,180000.0,1000.0,5'10,154.0,Europe
16767,B. Hernández,23,Mexico,56,64,Querétaro,110000.0,1000.0,5'8,159.0,North America
16768,C. Carroll,19,Ireland,56,74,Brentford,180000.0,2000.0,6'0,168.0,Europe
16769,D. Takahashi,19,Japan,56,70,Shimizu S-Pulse,200000.0,1000.0,5'4,117.0,Asia
16770,L. Brand,18,Netherlands,56,68,Willem II,120000.0,1000.0,6'1,165.0,Europe
16771,Liu Yang,23,China,56,64,Shandong Luneng TaiShan FC,130000.0,2000.0,6'0,165.0,Asia
16772,Y. Zummack,22,Germany,56,62,VfL Sportfreunde Lotte,90000.0,1000.0,6'1,168.0,Europe
16773,R. Feely,21,Ireland,56,67,Waterford FC,140000.0,1000.0,6'3,168.0,Europe
16774,J. Hove,17,Norway,56,74,Strømsgodset IF,180000.0,1000.0,5'10,159.0,Europe
16775,T. Deters,22,Germany,56,63,SV Meppen,130000.0,1000.0,5'8,137.0,Europe
16776,H. Bellman,19,Sweden,56,71,Östersunds FK,190000.0,1000.0,5'7,143.0,Europe
16777,Marc Vito,21,Spain,56,66,Girona FC,110000.0,2000.0,6'2,176.0,Europe
16778,C. MacPherson,19,United Kingdom,56,71,St. Mirren,190000.0,1000.0,5'9,157.0,Europe
16779,C. Rojas,20,Colombia,56,65,Envigado FC,140000.0,1000.0,5'10,157.0,South America
16780,A. Cvetkovic,23,Serbia,56,63,Grasshopper Club Zürich,110000.0,2000.0,6'2,192.0,Europe
16781,R. Okazaki,26,Japan,56,59,Shonan Bellmare,90000.0,1000.0,6'1,172.0,Asia
16782,R. Wintle,21,United Kingdom,56,66,Crewe Alexandra,140000.0,2000.0,5'11,141.0,Europe
16783,M. Smith,18,United Kingdom,56,75,,0.0,0.0,5'10,150.0,Europe
16784,J. Rees,24,United Kingdom,56,58,Gillingham,110000.0,1000.0,5'11,172.0,Europe
16785,K. Ogi,35,Japan,56,56,Vissel Kobe,20000.0,1000.0,6'1,168.0,Asia
16786,Álvaro Gómez,21,Spain,56,67,Albacete BP,150000.0,1000.0,5'11,165.0,Europe
16787,T. Makowski,18,Poland,56,73,Lechia Gdańsk,180000.0,1000.0,5'10,159.0,Europe
16788,C. Sickinger,20,Germany,56,68,1. FC Kaiserslautern,140000.0,1000.0,6'0,161.0,Europe
16789,A. Al Bahri,23,Saudi Arabia,56,64,Ettifaq FC,100000.0,2000.0,6'0,165.0,Asia
16790,K. Dybowski,21,Poland,56,65,Piast Gliwice,110000.0,1000.0,6'1,176.0,Europe
16791,T. Vermot,21,France,56,65,AS Saint-Étienne,110000.0,2000.0,6'3,165.0,Europe
16792,Darío Ramos,18,Spain,56,74,Albacete BP,150000.0,1000.0,6'3,172.0,Europe
16793,E. Lyngdoh,31,India,56,56,,0.0,0.0,5'9,150.0,Asia
16794,R. Escobar,21,Chile,56,62,San Luis de Quillota,130000.0,1000.0,5'7,139.0,South America
16795,M. Ogkmpoe,23,Greece,56,63,Hamilton Academical FC,130000.0,1000.0,6'2,176.0,Europe
16796,N. Pejović,19,Serbia,56,73,Empoli,180000.0,1000.0,6'1,174.0,Europe
16797,J. Lokilo,19,"Congo, The Democratic Republic of the",56,73,FC Lorient,190000.0,3000.0,5'9,143.0,Africa
16798,Wang Ziming,21,China,56,65,Beijing Sinobo Guoan FC,140000.0,2000.0,6'2,168.0,Asia
16799,T. O'Neill,18,United Kingdom,56,72,Middlesbrough,190000.0,4000.0,6'1,154.0,Europe
16800,C. Waters,22,United Kingdom,56,64,Kilmarnock,110000.0,1000.0,5'6,159.0,Europe
16801,J. Williams,18,United Kingdom,56,74,Barnsley,170000.0,1000.0,5'10,165.0,Europe
16802,K. Mendoza,23,Denmark,56,62,AC Horsens,90000.0,1000.0,6'2,179.0,Europe
16803,Pedrosa,21,Spain,56,64,Real Valladolid CF,140000.0,2000.0,6'0,163.0,Europe
16804,F. Becker,18,Germany,56,73,FC St. Pauli,180000.0,1000.0,5'10,150.0,Europe
16805,J. Brown,20,United Kingdom,56,68,Barnsley,160000.0,1000.0,5'10,137.0,Europe
16806,M. Bulka,18,Poland,56,74,Chelsea,150000.0,2000.0,6'6,198.0,Europe
16807,R. Deprem,20,Sweden,56,65,Örebro SK,140000.0,1000.0,5'10,154.0,Europe
16808,H. Al Watyan,21,Saudi Arabia,56,66,Al Fateh,110000.0,2000.0,6'2,192.0,Asia
16809,I. Samba,20,France,56,69,AJ Auxerre,150000.0,1000.0,6'0,163.0,Europe
16810,S. Tağa,26,Turkey,56,58,Yeni Malatyaspor,110000.0,2000.0,5'10,150.0,Asia
16811,J. Castillo,19,Chile,56,73,Deportes Iquique,190000.0,1000.0,5'5,123.0,South America
16812,O. Şahin,20,Turkey,56,64,BB Erzurumspor,130000.0,2000.0,5'9,165.0,Asia
16813,A. Cháves,26,Argentina,56,58,Club Atlético Colón,110000.0,2000.0,5'9,157.0,South America
16814,H. Campbell,22,United Kingdom,56,64,Burton Albion,100000.0,1000.0,6'1,170.0,Europe
16815,F. Myhre,19,Norway,56,69,Vålerenga Fotball,150000.0,1000.0,5'11,165.0,Europe
16816,I. Sauter,17,Switzerland,56,80,FC Zürich,180000.0,1000.0,6'0,174.0,Europe
16817,M. Castaño,19,Colombia,56,74,La Equidad,190000.0,1000.0,5'9,141.0,South America
16818,L. Ureta,19,Chile,56,73,CD O'Higgins,160000.0,1000.0,5'10,170.0,South America
16819,J. Ceesay,20,Sweden,56,66,Djurgårdens IF,150000.0,1000.0,5'10,152.0,Europe
16820,J. Fischer,18,Netherlands,56,72,Excelsior,180000.0,1000.0,5'11,150.0,Europe
16821,D. Pawłowski,19,Poland,56,66,Górnik Zabrze,120000.0,1000.0,6'2,157.0,Europe
16822,J. Ball,22,United Kingdom,56,64,Stevenage,130000.0,2000.0,6'2,176.0,Europe
16823,M. Shinada,18,Japan,56,71,FC Tokyo,180000.0,1000.0,5'11,146.0,Asia
16824,C. Lyon,26,United States,56,61,Los Angeles FC,80000.0,1000.0,6'2,209.0,North America
16825,Li Siqi,20,China,56,64,Beijing Sinobo Guoan FC,130000.0,2000.0,6'0,170.0,Asia
16826,G. Pender,24,Ireland,56,62,Bray Wanderers,130000.0,1000.0,5'10,157.0,Europe
16827,E. Crona,18,Sweden,56,74,Kalmar FF,190000.0,1000.0,6'1,168.0,Europe
16828,M. Idzik,21,Poland,56,65,Miedź Legnica,140000.0,1000.0,6'2,165.0,Europe
16829,L. Gelzleichter,18,Germany,56,74,SV Darmstadt 98,190000.0,2000.0,6'0,148.0,Europe
16830,S. Kulenović,18,Croatia,56,75,Legia Warszawa,190000.0,1000.0,6'2,168.0,Europe
16831,J. Talbot,21,Ireland,56,63,Bohemian FC,90000.0,1000.0,6'0,176.0,Europe
16832,J. Hallam,19,United Kingdom,56,71,Sheffield United,200000.0,1000.0,5'8,139.0,Europe
16833,J. Olufsen,22,Norway,56,64,Ranheim Fotball,130000.0,1000.0,6'0,165.0,Europe
16834,N. Al Harthi,19,Saudi Arabia,56,70,Al Wehda,190000.0,2000.0,5'7,128.0,Asia
16835,J. Thompson,19,United Kingdom,56,70,Coventry City,180000.0,1000.0,6'0,168.0,Europe
16836,Long Wei,23,China,56,63,Henan Jianye FC,110000.0,2000.0,6'0,154.0,Asia
16837,J. Valdeblánquez,20,Colombia,56,69,Rionegro Águilas,170000.0,1000.0,6'0,159.0,South America
16838,C. Núñez,20,Paraguay,56,67,Vélez Sarsfield,140000.0,1000.0,5'5,152.0,South America
